Gage,PoR Mean Wind Speed (mph),Event,Event Start Date,Event End Date
HDC,5.81,2004-02-14,2-7,2-21
HDC,5.81,2013-02-14,2-7,2-21
HDC,5.97,2011-03-10,3-3,3-17
HDC,5.38,2018-01-29,1-22,2-5
HDC,5.93,2019-04-20,4-13,4-27
HDC,6.08,2014-02-23,2-16,3-2
HDC,5.46,2018-12-29,12-22,1-5
HDC,4.42,2015-11-20,11-13,11-27
HDC,5.09,2009-12-19,12-12,12-26
HDC,6.08,2015-03-04,2-25,3-11
HDC,5.44,2005-02-02,1-26,2-9
HDC,4.11,2002-11-07,10-31,11-14
HDC,5.29,2017-01-22,1-15,1-29
HDC,5.39,2012-01-28,1-21,2-4
HDC,5.9,2013-04-16,4-9,4-23
HDC,5.97,2003-04-09,4-2,4-16
HDC,5.95,2017-04-05,3-29,4-12
HDC,5.97,2002-04-10,4-3,4-17
HDC,5.4,2007-01-01,12-25,1-8
HDC,4.09,2017-10-24,10-17,10-31
HDC,3.45,2004-06-27,6-20,7-4
HDC,5.63,2010-02-06,1-30,2-13
HDC,6.02,2012-03-23,3-16,3-30
HDC,5.5,2017-01-03,12-27,1-10
HDC,6.25,2004-02-26,2-19,3-4
HDC,5.56,2019-01-06,12-30,1-13
HDC,5.58,2016-02-05,1-29,2-12
HDC,4.3,2002-10-30,10-23,11-6
HDC,4.91,2008-05-16,5-9,5-23
HDC,6.07,2014-03-31,3-24,4-7
HDC,5.63,2004-02-06,1-30,2-13
HDC,5.47,2012-12-31,12-24,1-7
HDC,5.55,2015-01-05,12-29,1-12
HDC,5.26,2007-05-05,4-28,5-12
